Kind,Name,File,Cyclomatic,CountLineCodeExe
Static Function,"add_merge_entry",git\builtin\merge-tree.c,1,2
Static Function,"add_merge_info",git\pretty.c,5,15
Static Function,"add_merge_parent",git\builtin\fmt-merge-msg.c,5,7
Static Function,"add_message_grep",git\revision.c,1,1
Static Function,"add_missing_tags",git\remote.c,13,38
Static Function,"add_name_decoration",git\log-tree.c,1,5
Function,"add_name_hash",git\name-hash.c,3,5
Static Function,"add_name_limit",git\builtin\apply.c,2,2
Static Function,"add_non_note",git\notes.c,6,28
Function,"add_note",git\notes.c,3,10
Function,"add_object",git\revision.c,1,3
Function,"add_object_array",git\object.c,1,1
Function,"add_object_array_with_context",git\object.c,2,4
Function,"add_object_array_with_mode",git\object.c,1,1
Static Function,"add_object_array_with_mode_context",git\object.c,4,19
Static Function,"add_object_buffer",git\builtin\unpack-objects.c,2,5
Static Function,"add_object_entry",git\builtin\pack-objects.c,20,54
Static Function,"add_objects_in_unpacked_packs",git\builtin\pack-objects.c,11,20
Static Function,"add_one_object",git\http-push.c,1,5
Static Function,"add_one_path",git\builtin\update-index.c,7,18
Static Function,"add_one_ref",git\reachable.c,1,4
Static Function,"add_one_reference",git\builtin\clone.c,5,20
Static Function,"add_one_reflog",git\reachable.c,1,2
Static Function,"add_one_reflog_ent",git\reachable.c,3,8
Static Function,"add_one_tree",git\reachable.c,2,3
Static Function,"add_options_to_argv",git\builtin\fetch.c,13,24
Static Function,"add_pack",git\builtin\pack-redundant.c,7,18
Static Function,"add_pack_file",git\builtin\pack-redundant.c,4,8
Function,"add_packed_git",git\sha1_file.c,6,22
Function,"add_packed_ref",git\refs.c,2,6
Static Function,"add_parents_only",git\revision.c,9,24
Static Function,"add_parents_to_list",git\revision.c,15,37
Static Function,"add_path",git\exec_cmd.c,3,6
Function,"add_pathspec_matches_against_index",git\pathspec.c,5,9
Static Function,"add_pbase_object",git\builtin\pack-objects.c,9,23
Static Function,"add_pending_commit",git\builtin\log.c,3,7
Static Function,"add_pending_commit_list",git\revision.c,2,5
Function,"add_pending_object",git\revision.c,1,1
Static Function,"add_pending_object_with_mode",git\revision.c,7,16
Function,"add_pending_sha1",git\revision.c,1,2
Static Function,"add_pending_tree",git\list-objects.c,1,1
Static Function,"add_pending_uninteresting_ref",git\builtin\checkout.c,1,2
Static Function,"add_people_count",git\builtin\fmt-merge-msg.c,4,12
Static Function,"add_people_info",git\builtin\fmt-merge-msg.c,3,10
Static Function,"add_preferred_base",git\builtin\pack-objects.c,5,15
Static Function,"add_preferred_base_object",git\builtin\pack-objects.c,4,10
Static Function,"add_prefix",git\builtin\blame.c,2,1
Static Function,"add_push_refspec",git\remote.c,4,2
Static Function,"add_push_to_show_info",git\builtin\remote.c,3,9
Static Function,"add_pushurl",git\remote.c,4,2
Static Function,"add_pushurl_alias",git\remote.c,2,3
Static Function,"add_ref",git\refs.c,2,5
Static Function,"add_ref_decoration",git\log-tree.c,14,33
Static Function,"add_ref_tag",git\builtin\pack-objects.c,2,5
Function,"add_reflog_for_walk",git\reflog-walk.c,13,53
Static Function,"add_refspec",git\builtin\push.c,4,3
Static Function,"add_rejected_path",git\unpack-trees.c,3,4
Static Function,"add_remote_info_ref",git\http-push.c,5,33
Static Function,"add_remote_or_group",git\builtin\fetch.c,3,9
Static Function,"add_remote_to_show_info",git\builtin\remote.c,2,6
Static Function,"add_remove_files",git\builtin\commit.c,5,9
Static Function,"add_repack_all_option",git\builtin\gc.c,3,6
Static Function,"add_rev_cmdline",git\revision.c,4,8
Static Function,"add_rev_cmdline_list",git\revision.c,2,5
Static Function,"add_rfc2047",git\pretty.c,6,18
Static Function,"add_rfc822_quoted",git\pretty.c,4,10
Static Function,"add_same_unmerged",git\unpack-trees.c,4,12
Static Function,"add_segment",git\compat\nedmalloc\malloc.c.h,22,36
Static Function,"add_send_request",git\http-push.c,4,19
Static Function,"add_sha1_list",git\builtin\fsck.c,2,9
Static Function,"add_sha1_to_argv",git\submodule.c,1,1
Static Function,"add_sha1_to_array",git\submodule.c,1,2
Static Function,"add_slash",git\builtin\mv.c,2,8
Static Function,"add_sought_entry",git\builtin\fetch-pack.c,1,1
Static Function,"add_sought_entry_mem",git\builtin\fetch-pack.c,4,6
Static Function,"add_spanhash",git\diffcore-delta.c,6,16
Static Function,"add_strategies",git\builtin\merge.c,5,11
Static Function,"add_submodule_odb",git\submodule.c,5,28
Function,"add_to_alternates_file",git\sha1_file.c,3,8
Static Function,"add_to_fn_table",git\builtin\apply.c,3,6
Function,"add_to_index",git\read-cache.c,21,64
Static Function,"add_to_known_names",git\builtin\describe.c,4,19
Static Function,"add_to_ref_list",git\bundle.c,2,7
Static Function,"add_to_tip_table",git\builtin\name-rev.c,4,6
Static Function,"add_to_tips",git\remote.c,6,8
Static Function,"add_to_write_order",git\builtin\pack-objects.c,2,4
Static Function,"add_url",git\remote.c,4,2
Static Function,"add_url_alias",git\remote.c,1,2
Static Function,"add_verbose_info",git\builtin\branch.c,3,13
Static Function,"add_work",git\builtin\grep.c,3,11
Static Function,"add_wrapped_shortlog_msg",git\builtin\shortlog.c,1,2
Static Function,"added_object",git\builtin\unpack-objects.c,3,11
Static Function,"addrcmp",git\daemon.c,4,13
Static Function,"adjust_hunk_tail",git\combine-diff.c,2,3
Function,"adjust_shared_perm",git\path.c,5,12
File,"advice.c",git\advice.c,,70
File,"advice.h",git\advice.h,,0
Function,"advise",git\advice.c,3,10
Static Function,"advise_checkout_pull_push",git\builtin\push.c,2,3
Static Function,"advise_pull_before_push",git\builtin\push.c,2,3
Static Function,"advise_ref_already_exists",git\builtin\push.c,2,3
Static Function,"advise_ref_fetch_first",git\builtin\push.c,2,3
Static Function,"advise_ref_needs_force",git\builtin\push.c,2,3
Static Function,"advise_use_upstream",git\builtin\push.c,2,3
Static Function,"ai_name",git\connect.c,2,4
Static Function,"alarm",git\compat\mingw.h,1,1
File,"alias.c",git\alias.c,,51
Static Function,"alias_all_urls",git\remote.c,6,10
Function,"alias_lookup",git\alias.c,1,4
Static Function,"alias_lookup_cb",git\alias.c,3,6
Static Function,"alias_url",git\remote.c,6,18
Struct,"all_refs_cb",git\revision.c,,0
File,"alloc.c",git\alloc.c,,11
Static Function,"alloc_base_data",git\builtin\index-pack.c,1,5
Function,"alloc_blob_node",git\alloc.c,2,1
Function,"alloc_commit_node",git\alloc.c,2,1
Static Function,"alloc_delete_ref",git\remote.c,1,3
Function,"alloc_filespec",git\diff.c,1,8
Function,"alloc_object_node",git\alloc.c,2,1
Static Function,"alloc_objects",git\fast-import.c,1,7
Static Function,"alloc_packed_git",git\sha1_file.c,1,4
Function,"alloc_ref",git\remote.c,1,1
Static Function,"alloc_ref_with_prefix",git\remote.c,1,5
Function,"alloc_report",git\alloc.c,1,4
Function,"alloc_tag_node",git\alloc.c,2,1
Function,"alloc_tree_node",git\alloc.c,2,1
File,"alloca.h",git\compat\vcbuild\include\alloca.h,,0
Static Function,"allow_empty",git\sequencer.c,7,16
Static Function,"already_written",git\bulk-checkin.c,4,6
Struct,"alt_base",git\http-walker.c,,0
Struct,"alternate_object_database",git\cache.h,,0
Struct,"alternate_refs_data",git\transport.c,,0
Struct,"alternates_request",git\http-walker.c,,0
Static Function,"ambiguous_path",git\sha1_name.c,6,17
Static Function,"analyze",git\compat\regex\regcomp.c,13,39
Static Function,"and_callback",git\builtin\grep.c,1,3
File,"annotate.c",git\builtin\annotate.c,,7
Static Function,"annotate_refs_with_symref_info",git\connect.c,5,15
Static Function,"ansi_emulate",git\compat\winansi.c,5,22
Static Function,"anti_reference",git\builtin\rev-parse.c,1,2
Union,"any_object",git\alloc.c,,0
Static Function,"append_edit",git\builtin\notes.c,9,43
Static Function,"append_fetch_head",git\contrib\examples\builtin-fetch--tool.c,11,36
Function,"append_grep_pat",git\grep.c,1,2
Function,"append_grep_pattern",git\grep.c,1,1
Static Function,"append_head_ref",git\builtin\show-branch.c,3,6
Function,"append_header_grep_pattern",git\grep.c,2,5
Static Function,"append_lost",git\combine-diff.c,3,16
Static Function,"append_matching_ref",git\builtin\show-branch.c,7,13
Static Function,"append_merge_parents",git\builtin\blame.c,5,13
Function,"append_merge_tag_headers",git\commit.c,2,4
Static Function,"append_normalized_escapes",git\urlmatch.c,5,21
Static Function,"append_obj_to_pack",git\builtin\index-pack.c,2,22
Static Function,"append_one_rev",git\builtin\show-branch.c,5,15
Static Function,"append_parent",git\builtin\blame.c,2,4
Static Function,"append_path",git\builtin\grep.c,2,4
Static Function,"append_prune_data",git\revision.c,5,3
Static Function,"append_ref",git\builtin\show-branch.c,6,14
Static Function,"append_ref",git\builtin\branch.c,15,44
Struct,"append_ref_cb",git\builtin\branch.c,,0
Static Function,"append_ref_to_tracked_list",git\builtin\remote.c,3,8
Function,"append_remote_object_url",git\http.c,2,4
Static Function,"append_remote_ref",git\builtin\show-branch.c,3,6
Function,"append_signoff",git\sequencer.c,9,29
Static Function,"append_similar_ref",git\help.c,2,7
Static Function,"append_strategy",git\builtin\merge.c,4,2
Static Function,"append_tag_ref",git\builtin\show-branch.c,2,3
Static Function,"append_to_tree",git\builtin\mktree.c,3,11
File,"apple-common-crypto.h",git\compat\apple-common-crypto.h,,0
File,"apply.c",git\builtin\apply.c,,2348
Static Function,"apply_binary",git\builtin\apply.c,11,40
Static Function,"apply_binary_fragment",git\builtin\apply.c,9,31
Static Function,"apply_cas",git\remote.c,7,15
Static Function,"apply_data",git\builtin\apply.c,5,13
Static Function,"apply_delta",git\test-svn-fe.c,7,18
Static Function,"apply_delta",git\vcs-svn\fast_export.c,10,29
Static Function,"apply_filter",git\convert.c,8,30
Static Function,"apply_fragments",git\builtin\apply.c,6,16
Static Function,"apply_one_fragment",git\builtin\apply.c,42,151
Static Function,"apply_one_window",git\vcs-svn\svndiff.c,5,20
Static Function,"apply_patch",git\builtin\apply.c,18,55
Function,"apply_push_cas",git\remote.c,2,2
Function,"apply_refspecs",git\remote.c,2,5
Static Function,"apply_sparse_checkout",git\unpack-trees.c,8,18
Static Function,"apply_window_in_core",git\vcs-svn\svndiff.c,4,9
Static Function,"approxidate_alpha",git\date.c,18,63
Function,"approxidate_careful",git\date.c,3,8
Static Function,"approxidate_digit",git\date.c,8,13
Function,"approxidate_relative",git\date.c,2,4
Static Function,"approxidate_str",git\date.c,6,24
File,"archive-tar.c",git\archive-tar.c,,251
File,"archive-zip.c",git\archive-zip.c,,229
File,"archive.c",git\archive.c,,251
File,"archive.c",git\builtin\archive.c,,54
File,"archive.h",git\archive.h,,0
Function,"archive_format_from_filename",git\archive.c,3,4
Struct,"archiver",git\archive.h,,0
Struct,"archiver_args",git\archive.h,,0
Struct,"archiver_context",git\archive.c,,0
File,"argv-array.c",git\argv-array.c,,39
File,"argv-array.h",git\argv-array.h,,0
Struct,"argv_array",git\argv-array.h,,0
Function,"argv_array_clear",git\argv-array.c,3,5
Function,"argv_array_detach",git\argv-array.c,3,6
Function,"argv_array_free_detached",git\argv-array.c,3,4
Function,"argv_array_init",git\argv-array.c,1,3
Function,"argv_array_pop",git\argv-array.c,2,5
Function,"argv_array_push",git\argv-array.c,1,1
Static Function,"argv_array_push_nodup",git\argv-array.c,5,5
Function,"argv_array_pushf",git\argv-array.c,1,5
Function,"argv_array_pushl",git\argv-array.c,2,4
Static Function,"ask_each_cmd",git\builtin\clean.c,6,20
Static Function,"ask_yes_no_if_possible",git\compat\mingw.c,5,15
Function,"assert_sha1_type",git\sha1_file.c,3,6
Static Function,"assign_blame",git\builtin\blame.c,12,28
Struct,"async",git\run-command.h,,0
Static Function,"async_die_is_recursing",git\run-command.c,1,3
Struct,"atom_str",git\fast-import.c,,0
Struct,"atom_value",git\builtin\for-each-ref.c,,0
Static Function,"attach_callback",git\builtin\log.c,4,9
Static Function,"attach_stream_filter",git\streaming.c,1,10
File,"attr.c",git\attr.c,,360
File,"attr.h",git\attr.h,,0
Struct,"attr_stack",git\attr.c,,0
Struct,"attr_state",git\attr.c,,0
Static Function,"auth_cram_md5",git\imap-send.c,2,6
Struct,"author_date_slab",git\commit.c,,0
Static Function,"author_date_slab_at",git\commit.c,4,1
Function,"author_ident_sufficiently_given",git\ident.c,1,1
Struct,"avail_tree_content",git\fast-import.c,,0
Static Function,"backfill_tags",git\builtin\fetch.c,3,9
Static Function,"bad_object",git\builtin\index-pack.c,1,4
Static Function,"bad_ref_char",git\refs.c,3,6
File,"base85.c",git\base85.c,,62
Struct,"base_data",git\builtin\index-pack.c,,0
Function,"base_name_compare",git\read-cache.c,7,11
Static Function,"base_name_entries_compare",git\match-trees.c,1,2
Static Function,"basecmp",git\tree-walk.c,4,9
File,"basename.c",git\compat\basename.c,,6
Static Function,"basename_same",git\diffcore-rename.c,4,10
Static Function,"batch_objects",git\builtin\cat-file.c,7,19
Static Function,"batch_one_object",git\builtin\cat-file.c,5,19
Static Function,"batch_option_callback",git\builtin\cat-file.c,2,8
Struct,"batch_options",git\builtin\cat-file.c,,0
Static Function,"begin_revision",git\vcs-svn\svndump.c,2,5
Static Function,"best_bisection",git\bisect.c,5,13
Static Function,"best_bisection_sorted",git\bisect.c,6,23
Static Function,"better_branch_name",git\builtin\merge-recursive.c,3,5
Function,"bidirectional_transfer_loop",git\transport-helper.c,1,17
Struct,"bidirectional_transfer_state",git\transport-helper.c,,0
Struct,"bin_tree_storage_t",git\compat\regex\regex_internal.h,,0
Struct,"bin_tree_t",git\compat\regex\regex_internal.h,,0
Static Function,"binary_search",git\xdiff\xpatience.c,3,8
Function,"bind_merge",git\unpack-trees.c,6,12
Static Function,"bisearch",git\utf8.c,5,12
File,"bisect--helper.c",git\builtin\bisect--helper.c,,18
File,"bisect.c",git\bisect.c,,436
File,"bisect.h",git\bisect.h,,0
Static Function,"bisect_checkout",git\bisect.c,4,13
Static Function,"bisect_common",git\bisect.c,3,4
Function,"bisect_next_all",git\bisect.c,5,32
Static Function,"bisect_rev_setup",git\bisect.c,3,13
Static Function,"bitset_mask",git\compat\regex\regex_internal.h,2,2
Static Function,"bitset_merge",git\compat\regex\regex_internal.h,2,2
Static Function,"bitset_not",git\compat\regex\regex_internal.h,2,2
File,"blame.c",git\builtin\blame.c,,1237
Static Function,"blame_chunk",git\builtin\blame.c,5,7
Static Function,"blame_chunk_cb",git\builtin\blame.c,1,5
Struct,"blame_chunk_cb_data",git\builtin\blame.c,,0
Static Function,"blame_copy_callback",git\builtin\blame.c,4,9
Struct,"blame_entry",git\builtin\blame.c,,0
Struct,"blame_list",git\builtin\blame.c,,0
Static Function,"blame_move_callback",git\builtin\blame.c,2,5
Static Function,"blame_overlap",git\builtin\blame.c,2,4
Static Function,"blk_SHA1_Block",git\block-sha1\sha1.c,81,90
Function,"blk_SHA1_Final",git\block-sha1\sha1.c,3,8
Function,"blk_SHA1_Init",git\block-sha1\sha1.c,1,6
Function,"blk_SHA1_Update",git\block-sha1\sha1.c,6,19
Struct,"blob",git\blob.h,,0
File,"blob.c",git\blob.c,,13
File,"blob.h",git\blob.h,,0
Static Function,"blob_unchanged",git\merge-recursive.c,5,16
Struct,"blobinfo",git\builtin\diff.c,,0
Static Function,"bmexec",git\kwset.c,19,51
Static Function,"bootstrap_attr_stack",git\attr.c,10,34
Static Function,"both_empty",git\builtin\merge-tree.c,1,1
Struct,"branch",git\remote.h,,0
Struct,"branch",git\fast-import.c,,0
File,"branch.c",git\branch.c,,202
File,"branch.c",git\builtin\branch.c,,648
File,"branch.h",git\branch.h,,0
Struct,"branch_desc_cb",git\branch.c,,0
Function,"branch_get",git\remote.c,6,16
Static Function,"branch_get_color",git\builtin\branch.c,2,3
Function,"branch_has_merge_config",git\remote.c,1,1
Struct,"branch_info",git\builtin\remote.c,,0
Struct,"branch_info",git\builtin\checkout.c,,0
Function,"branch_merge_matches",git\remote.c,2,3
Static Function,"branch_merged",git\builtin\branch.c,6,27
Struct,"branches_for_remote",git\builtin\remote.c,,0
File,"bswap.h",git\compat\bswap.h,,4
Static Function,"buf_cmp",git\ident.c,3,7
Struct,"buffer",git\http.h,,0
Function,"buffer_copy_bytes",git\vcs-svn\line_buffer.c,4,10
Function,"buffer_deinit",git\vcs-svn\line_buffer.c,2,5
Function,"buffer_fdinit",git\vcs-svn\line_buffer.c,2,4
Function,"buffer_ferror",git\vcs-svn\line_buffer.c,1,1
Static Function,"buffer_gets",git\imap-send.c,9,27
Function,"buffer_init",git\vcs-svn\line_buffer.c,3,4
Function,"buffer_is_binary",git\xdiff-interface.c,2,3
Function,"buffer_read_binary",git\vcs-svn\line_buffer.c,1,1
Function,"buffer_read_char",git\vcs-svn\line_buffer.c,1,1
Function,"buffer_read_line",git\vcs-svn\line_buffer.c,4,9
Function,"buffer_skip_bytes",git\vcs-svn\line_buffer.c,3,6
Function,"buffer_tmpfile_init",git\vcs-svn\line_buffer.c,2,4
Function,"buffer_tmpfile_prepare_to_read",git\vcs-svn\line_buffer.c,3,6
Function,"buffer_tmpfile_rewind",git\vcs-svn\line_buffer.c,1,2
Static Function,"build_charclass",git\compat\regex\regcomp.c,86,30
Static Function,"build_charclass_op",git\compat\regex\regcomp.c,7,25
Static Function,"build_collating_symbol",git\compat\regex\regcomp.c,2,6
Static Function,"build_equiv_class",git\compat\regex\regcomp.c,2,4
Static Function,"build_fake_ancestor",git\builtin\apply.c,12,27
Static Function,"build_range_exp",git\compat\regex\regcomp.c,10,21
Static Function,"build_sifted_states",git\compat\regex\regexec.c,7,22
Static Function,"build_tag_object",git\builtin\tag.c,3,5
Static Function,"build_trtable",git\compat\regex\regexec.c,39,112
Static Function,"build_upper_buffer",git\compat\regex\regex_internal.c,5,11
File,"builtin-fetch--tool.c",git\contrib\examples\builtin-fetch--tool.c,,350
File,"builtin.h",git\builtin.h,,0
Static Function,"builtin_checkdiff",git\diff.c,9,33
Static Function,"builtin_diff",git\diff.c,36,134
Static Function,"builtin_diff_b_f",git\builtin\diff.c,5,17
Static Function,"builtin_diff_blobs",git\builtin\diff.c,4,15
Static Function,"builtin_diff_combined",git\builtin\diff.c,4,11
Static Function,"builtin_diff_files",git\builtin\diff.c,9,23
Static Function,"builtin_diff_index",git\builtin\diff.c,7,21
Static Function,"builtin_diff_tree",git\builtin\diff.c,3,10
